filename,width,height,class,xmin,ymin,xmax,ymax
DSC_0391_jpg.rf.eeb459122c8bb41e1dc7ac1fbbc4c1f9.jpg,512,512,Bercak Coklat -Helminthosporium oryzae-,130,114,292,338
DSC_0295_JPG.rf.ef5b6607d638088791a6b68aaced34af.jpg,512,512,Bercak Coklat -Helminthosporium oryzae-,59,169,509,427
DSC_0380_JPG.rf.ef02434f888816d4b460e34e88a4d9c1.jpg,512,512,Hawar Daun Bakteri -Xanthomonas oryzae-,77,217,314,335
DSC_0101_jpg.rf.ef581bacb3b90f7af849ca35123a38fe.jpg,512,512,Bercak Coklat -Helminthosporium oryzae-,0,32,512,498
DSC_0315_jpg.rf.ef7abdf02b172d51a78ab34ca6b3fbeb.jpg,512,512,Bercak Daun -Ustilaginoidea virens-,121,0,330,512
DSC_0323_JPG.rf.f01d9b01b92cdbba619e26ec09b219cb.jpg,512,512,Bercak Coklat -Helminthosporium oryzae-,40,58,349,420
DSC_0335_JPG.rf.eebdec11cc71b8b88551f1014155d2b9.jpg,512,512,Bercak Daun -Ustilaginoidea virens-,160,1,414,512
Image_7_jpeg_jpg.rf.ef43f03b3ca34c5318ac8e8e9283938a.jpg,512,512,None,135,0,382,483
Image_36_jpg.rf.f1ec0f76314436512cd7d145ecd886d3.jpg,512,512,None,132,7,382,499
DSC_0315_jpg.rf.ef8b9bc2ea5db4400655f354c681c2fa.jpg,512,512,Bercak Daun -Ustilaginoidea virens-,183,0,392,512
DSC_0328_jpg.rf.f11a488d875fc0ae506438a8012777df.jpg,512,512,Bercak Daun -Ustilaginoidea virens-,1,107,512,408
IMG_20190419_112952_jpg.rf.f0f854d4366aa4fb587409bda74a7efa.jpg,512,512,Health,0,99,512,402
IMG_20190419_114505_jpg.rf.f05c08db43e4269f549cae9c720e46b6.jpg,512,512,Health,0,102,512,504
DSC_0394_jpg.rf.f25e588e9d9015cab0f6492c9966d670.jpg,512,512,Bercak Coklat -Helminthosporium oryzae-,164,107,244,376
Image_6_jpg.rf.f0a595f1e01927b187c4597e4413e3ab.jpg,512,512,None,36,67,474,436
DSC_0401_JPG.rf.eec75aaf6e5f60d46b9ceaa98568fbfe.jpg,512,512,Hawar Daun Bakteri -Xanthomonas oryzae-,0,202,440,374
DSC_0328_jpg.rf.f0ac03117daf46ef648022155571f663.jpg,512,512,Bercak Daun -Ustilaginoidea virens-,107,1,408,512
IMG_20190419_145430_jpg.rf.ef6dd49ce21b80954f57933a61f46860.jpg,512,512,Health,0,1,512,507
IMG_20190419_145405_jpg.rf.f240e9aac2f7efa010494d22d903e8c4.jpg,512,512,Health,0,30,512,452
IMG_20190419_114438_jpg.rf.f18e724b517774307d20e73de574fa4c.jpg,512,512,Health,0,186,512,402
DSC_0106_jpg.rf.f0aeeca394e8345fd5625a89cc448909.jpg,512,512,Bercak Coklat -Helminthosporium oryzae-,0,1,511,494
Image_7_JPG_jpg.rf.f1c47bf14025f69bcb090b6d549adb01.jpg,512,512,None,57,46,449,477
DSC_0511_jpg.rf.f016b187e9832f5149a53a7b64d6b693.jpg,512,512,Bercak Daun -Ustilaginoidea virens-,4,0,512,512
Image_3_jpg.rf.f0c545aa362a15e2e378352d44fe7762.jpg,512,512,None,118,26,448,490
IMG_20190419_115453_jpg.rf.f3f2a2c8ba4d6d266741285b5d8cfb9a.jpg,512,512,Health,0,68,505,438
DSC_0381_JPG.rf.f3f28efa4a601ae98b220712b84e2ac0.jpg,512,512,Hawar Daun Bakteri -Xanthomonas oryzae-,189,0,362,512
DSC_0400_JPG.rf.f26374fd9c413fa5c5eabf43508c7b19.jpg,512,512,Hawar Daun Bakteri -Xanthomonas oryzae-,198,195,389,411
DSC_0109_jpg.rf.f141bd4bf611962773aa5e254bab7ba7.jpg,512,512,Bercak Coklat -Helminthosporium oryzae-,1,0,512,512
Image_36_jpg.rf.f60c0fbd5c9d9b9e176d8e2abaaf23c2.jpg,512,512,None,7,132,499,382
DSC_0114_jpg.rf.f5598c1edee59c72322d084ce4168f5f.jpg,512,512,Bercak Coklat -Helminthosporium oryzae-,0,26,512,404
DSC_0106_jpg.rf.f320960f4fefa40525d679faefcc48c1.jpg,512,512,Bercak Coklat -Helminthosporium oryzae-,0,1,511,494
DSC_0399_JPG.rf.f447501733c874d65acd95cd89b99673.jpg,512,512,Hawar Daun Bakteri -Xanthomonas oryzae-,99,102,326,512
IMG_20190419_134622_jpg.rf.f52c49f1032de1cfa6c6470e4623a90b.jpg,512,512,Health,66,0,394,512
DSC_0406_JPG.rf.f33c1bf0761a136c8e6577bebf5c3950.jpg,512,512,Hawar Daun Bakteri -Xanthomonas oryzae-,0,150,498,418
DSC_0106_jpg.rf.f537e9b1efb743bf2a8a514afc129f9e.jpg,512,512,Bercak Coklat -Helminthosporium oryzae-,1,0,494,511
Image_6_jpg.rf.f3b9652c8e92ae24626fdcfb15dccd3c.jpg,512,512,None,0,106,463,416
DSC_0313_JPG.rf.f5e1e4dd2430db79ba0798440e7d53dc.jpg,512,512,Bercak Daun -Ustilaginoidea virens-,145,0,351,512
DSC_0394_jpg.rf.f645eae11fa65850f133a32f477a4e8f.jpg,512,512,Bercak Coklat -Helminthosporium oryzae-,137,268,406,348
DSC_0336_jpg.rf.f59114243e676b3dcc64d94807d2e05e.jpg,512,512,Bercak Daun -Ustilaginoidea virens-,0,170,512,380
Image_4_jpg.rf.f495885a2f7b2b58939ffbaaf9149fc6.jpg,512,512,None,4,33,510,403
DSC_0101_jpg.rf.f6664f76d4a67148211101b5450fd3a1.jpg,512,512,Bercak Coklat -Helminthosporium oryzae-,0,15,512,481
Image_31_jpg.rf.f529a76cff60f3ed92a57a1060e502c7.jpg,512,512,None,0,153,498,345
DSC_0391_jpg.rf.f596f1f63f623b6d4e99614a68473a6d.jpg,512,512,Bercak Coklat -Helminthosporium oryzae-,221,174,383,398
